Education_Level,Course,Stream,Subject
Undergraduate,LLB,Law,Jurisprudence
Undergraduate,LLB,Law,Family Law
Undergraduate,BBA,Business,Principles of Management
Undergraduate,BBA,Business,Marketing Management
Undergraduate,BBA,Business,Financial Accounting
Undergraduate,BBA,Business,Business Economics
Undergraduate,BBA,Business,Organizational Behavior
Undergraduate,BBA,Business,Business Statistics
Undergraduate,BCom,Commerce,Financial Accounting
Undergraduate,BCom,Commerce,Business Law
Undergraduate,BCom,Commerce,Economics
Undergraduate,BCom,Commerce,Taxation
Undergraduate,BCom,Commerce,Auditing
Undergraduate,BCom,Commerce,Cost Accounting
Undergraduate,BSc Science,Science,Physics
Undergraduate,BSc Science,Science,Chemistry
Undergraduate,BSc Science,Science,Mathematics
Undergraduate,BSc Science,Science,Botany
Undergraduate,BSc Science,Science,Zoology
Postgraduate,MTech Computer Science,Computer Science,Advanced Algorithms
Postgraduate,MTech Computer Science,Computer Science,Distributed Systems
Postgraduate,MTech Computer Science,Computer Science,Cloud Computing
Postgraduate,MTech Computer Science,Computer Science,Advanced DBMS
Postgraduate,MTech Computer Science,Computer Science,Advanced Operating Systems
Postgraduate,MTech Artificial Intelligence,Artificial Intelligence,Deep Learning
Postgraduate,MTech Artificial Intelligence,Artificial Intelligence,Reinforcement Learning
Postgraduate,MTech Artificial Intelligence,Artificial Intelligence,Advanced Natural Language Processing
Postgraduate,MTech Artificial Intelligence,Artificial Intelligence,Advanced Computer Vision
Postgraduate,MTech Artificial Intelligence,Artificial Intelligence,Advanced Machine Learning
Postgraduate,MBA,Business,Strategic Management
Postgraduate,MBA,Business,Financial Management
Postgraduate,MBA,Business,Marketing Management
Postgraduate,MBA,Business,Human Resource Management
Postgraduate,MBA,Business,Operations Management
Postgraduate,MD,Medical,Advanced Pathology
Postgraduate,MD,Medical,Clinical Medicine
Postgraduate,MD,Medical,Surgery
Postgraduate,MD,Medical,Radiology
Postgraduate,MD,Medical,Advanced Pharmacology
Postgraduate,LLM,Law,Advanced Constitutional Law
Postgraduate,LLM,Law,International Law
Postgraduate,LLM,Law,Corporate Law
Postgraduate,LLM,Law,Human Rights Law
Postgraduate,MSc,Science,Advanced Physics
Postgraduate,MSc,Science,Advanced Chemistry
Postgraduate,MSc,Science,Advanced Mathematics
Postgraduate,MSc,Science,Advanced Biology
